Cognome e Nome				Link
PIANIÊLucia				http://www.scopus.com/authid/detail.url?authorId=55827782600
PIERRIÊAntonio				https://www.scopus.com/authid/detail.uri?authorId=5720294147
PILATIÊLuciano				http://www.scopus.com/authid/detail.uri?authorId=57090640500
PILONEÊVittoria				http://www.scopus.com/authid/detail.url?authorId=56450862000
PISANIÊElena				http://www.scopus.com/authid/detail.url?authorId=16304627500
POMARICIÊEugenio				http://www.scopus.com/authid/detail.url?authorId=55601490300
PRESTAMBURGOÊSonia			http://www.scopus.com/authid/detail.url?authorId=55247303900
PRETOLANIÊRoberto			http://www.scopus.com/authid/detail.url?authorId=12761801700
PROSPERIÊMaurizio			http://www.scopus.com/authid/detail.url?authorId=36638232000
PULINAÊPietro				http://www.scopus.com/authid/detail.url?authorId=26536437600
QUARANTAÊGiovanni			http://www.scopus.com/authid/detail.url?authorId=7004396640
RAFFAELLIÊRoberta			http://www.scopus.com/authid/detail.url?authorId=24725477200
RAGAZZONIÊAlessandro			http://www.scopus.com/authid/detail.url?authorId=54412849600
RAIMONDIÊValentina			http://www.scopus.com/authid/detail.url?authorId=36350554300
RAMAÊDaniele				http://www.scopus.com/authid/detail.url?authorId=8228496000
REHOÊMatelda				http://www.scopus.com/authid/detail.url?authorId=56507324700
RICCIÊElena Claire			https://www.scopus.com/authid/detail.uri?authorId=55624018500
RICCIOLIÊFrancesco			https://www.scopus.com/authid/detail.uri?authorId=57207667713
RIZZOÊMarcella				http://www.scopus.com/authid/detail.url?authorId=55619525600
ROCCHIÊBenedetto				http://www.scopus.com/authid/detail.url?authorId=15832901000
ROCCHIÊLucia				http://www.scopus.com/authid/detail.url?authorId=36661508100
ROMAÊRocco				http://www.scopus.com/authid/detail.url?authorId=12807859700
ROMANOÊDonato				http://www.scopus.com/authid/detail.url?authorId=7007082129
ROMANOÊSeverino				http://www.scopus.com/authid/detail.url?authorId=55863515100
ROSELLIÊLuigi				http://www.scopus.com/authid/detail.url?authorId=36162548200
ROSSETTOÊLuca				http://www.scopus.com/authid/detail.url?authorId=7007183221
ROSSIÊAdanella				http://www.scopus.com/authid/detail.url?authorId=15122683700
RUSSOÊCarlo				http://www.scopus.com/authid/detail.url?authorId=35733017800
SACCHELLIÊSandro				http://www.scopus.com/authid/detail.url?authorId=46461979100
SACCHIÊGiovanna				https://www.scopus.com/authid/detail.uri?authorId=56704734600
SALIÊGuido				http://www.scopus.com/authid/detail.url?authorId=36644732000
SALVIAÊRosanna				https://www.scopus.com/authid/detail.uri?authorId=54401687300
SALVIONIÊCristina Anna Maria		http://www.scopus.com/authid/detail.url?authorId=24460826100
SAMOGGIAÊAntonella			http://www.scopus.com/authid/detail.url?authorId=55348592400
SANTERAMOÊFabio Gaetano			http://www.scopus.com/authid/detail.url?authorId=37067967300
SARDAROÊRuggiero				https://www.scopus.com/authid/detail.uri?authorId=45561816000
SASSIÊMaria				http://www.scopus.com/authid/detail.url?authorId=29867556800
SCARAMUZZIÊSilvia			http://www.scopus.com/authid/detail.url?authorId=56129167900
SCARPAÊRiccardo				http://www.scopus.com/authid/detail.url?authorId=7101679887
SCARPATOÊDebora				http://www.scopus.com/authid/detail.url?authorId=55565234200
SCARPELLINIÊPaola			https://www.scopus.com/authid/detail.uri?authorId=56073407000
SCHAEUFELE-ELBERSÊIsabel Marie		https://www.scopus.com/authid/detail.uri?authorId=57191958931
SCHAMELÊGunter				https://www.scopus.com/authid/detail.uri?authorId=35732966400
SCHIFANIÊGiorgio				http://www.scopus.com/authid/detail.url?authorId=53864000600
SCHIMMENTIÊEmanuele			http://www.scopus.com/authid/detail.url?authorId=35226717000
SCKOKAIÊPaolo				http://www.scopus.com/authid/detail.url?authorId=8436809000
SCOZZAFAVAÊGabriele			http://www.scopus.com/authid/detail.url?authorId=39962525200
SCUDERIÊAlessandro			https://www.scopus.com/authid/detail.uri?authorId=55621175200
SECCIAÊAntonio				http://www.scopus.com/authid/detail.url?authorId=54407927800
SECCOÊLaura				http://www.scopus.com/authid/detail.url?authorId=26656207800
SEGRE'ÊAndrea				https://www.scopus.com/authid/detail.uri?authorId=56651151800
SENNIÊSaverio				http://www.scopus.com/authid/detail.url?authorId=14630941600
SETTIÊMarco				http://www.scopus.com/authid/detail.url?authorId=49662385600
SEVERINIÊSimone				http://www.scopus.com/authid/detail.url?authorId=33467953000
SGROIÊFilippo				http://www.scopus.com/authid/detail.url?authorId=54893822400
SIDALIÊKatia Laura			https://www.scopus.com/authid/detail.uri?authorId=42962370300
SIGNORELLOÊGiovanni			http://www.scopus.com/authid/detail.url?authorId=6506427699
SILLANIÊSandro				http://www.scopus.com/authid/detail.url?authorId=56721376900
SILVESTRIÊRaffaele			https://www.scopus.com/authid/detail.uri?authorId=56797762200
SIMEONEÊMaria Rosaria			http://www.scopus.com/authid/detail.url?authorId=54981683200
SISTOÊRoberta				http://www.scopus.com/authid/detail.url?authorId=15726903400
SODANOÊValeria				http://www.scopus.com/authid/detail.url?authorId=23470546300
SOGARIÊGiovanni				https://www.scopus.com/authid/detail.uri?authorId=56835755500
SOLFANELLIÊFrancesco			https://www.scopus.com/authid/detail.uri?authorId=55770870100
SOREGAROLIÊClaudio			http://www.scopus.com/authid/detail.url?authorId=15133256400
SORRENTINOÊAlessandro			http://www.scopus.com/authid/detail.url?authorId=56162786500
SPADONIÊRoberta				http://www.scopus.com/authid/detail.url?authorId=14833282000
STASIÊAntonio				http://www.scopus.com/authid/detail.url?authorId=54794428700
STEFANIÊGianluca				http://www.scopus.com/authid/detail.url?authorId=24503496900
STILLITANOÊTeodora			https://www.scopus.com/authid/detail.uri?authorId=56308589300
STRANIERIÊStefanella			http://www.scopus.com/authid/detail.url?authorId=24466017400
STRANOÊAlfio				http://www.scopus.com/authid/detail.url?authorId=56033991400
STURLA ZERENEÊGino Stefano		https://www.scopus.com/authid/detail.uri?authorId=57202233347
TARGETTIÊStefano				https://www.scopus.com/authid/detail.uri?authorId=36976369600
TEMPESTAÊTiziano				http://www.scopus.com/authid/detail.url?authorId=23006583400
TESTAÊRiccardo				https://www.scopus.com/authid/detail.uri?authorId=54893359800
THIENEÊMara				http://www.scopus.com/authid/detail.url?authorId=23006382300
TIMPANAROÊGiuseppe			http://www.scopus.com/authid/detail.url?authorId=55377394500
TORQUATIÊBiancamaria			http://www.scopus.com/authid/detail.url?authorId=51665915100
TRESTINIÊSamuele				http://www.scopus.com/authid/detail.url?authorId=23393560900
TROIANOÊStefania				http://www.scopus.com/authid/detail.url?authorId=24466671100
VARACCAÊAlessandro			https://www.scopus.com/authid/detail.uri?authorId=56468024400
VASTOLAÊAntonella Palmina			http://www.scopus.com/authid/detail.url?authorId=56449363100
VECCHIATOÊDaniel				https://www.scopus.com/authid/detail.uri?authorId=36675945500
VECCHIOÊRiccardo				https://www.scopus.com/authid/detail.uri?authorId=36551554600
VENEZIANIÊMario				https://www.scopus.com/authid/detail.uri?authorId=57190397295
VENTURAÊFlaminia				http://www.scopus.com/authid/detail.url?authorId=7005885479
VENTURAÊVera				https://www.scopus.com/authid/detail.uri?authorId=42662365600
VERGAMINIÊDaniele			https://www.scopus.com/authid/detail.uri?authorId=56624443700
VERNEAUÊFabio				http://www.scopus.com/authid/detail.url?authorId=55945001000
VIAGGIÊDavide				http://www.scopus.com/authid/detail.url?authorId=8541175100
VICCAROÊMauro				https://www.scopus.com/authid/detail.uri?authorId=55863425900
VIERIÊSimone				http://www.scopus.com/authid/detail.url?authorId=55247446800
VIGANO'ÊElena				http://www.scopus.com/authid/detail.url?authorId=46961449800
VINDIGNIÊGabriella Antonella		https://www.scopus.com/authid/detail.uri?authorId=6602701171
VISCECCHIAÊRosaria			http://www.scopus.com/authid/detail.url?authorId=39962707100
VITTUARIÊMatteo				http://www.scopus.com/authid/detail.url?authorId=6504199555
ZANASIÊCesare				http://www.scopus.com/authid/detail.url?authorId=49662439000
ZANOLIÊRaffaele				http://www.scopus.com/authid/detail.url?authorId=6603307309
ZAVALLONIÊMatteo				https://www.scopus.com/authid/detail.uri?authorId=56152902800
ZECCAÊFrancesco				https://www.scopus.com/authid/detail.uri?authorId=57188675846
ZOLINÊMaria Bruna			http://www.scopus.com/authid/detail.url?authorId=23394441500
